archetype_value,year,share_01_food_non_alcoholic,share_02_alcohol_tobacco,share_03_clothing_footwear,share_04_actual_rent,share_04_energy_other,share_05_furnishings,share_06_health,share_07_transport,share_08_communication,share_09_recreation_culture,share_10_education,share_11_restaurants_hotels,share_12_misc_goods_services,archetype_name,inflation_rate
own_mortgage,2016,0.15946989264808786,0.02583895662882447,0.04537507078494277,0.0013088806179887488,0.12729335416219104,0.08730900364669898,0.019640474751507316,0.13895905091011249,0.04274434043855734,0.15374934124172057,0.003271727868608552,0.09988945940842518,0.09515044689233432,tenure_type,0.9971071510217283
own_mortgage,2017,0.16811711597758416,0.03127089009249485,0.039621589157643786,0.0013241540723039917,0.13263898182600917,0.07609234695242455,0.020449111396111226,0.13856143759058642,0.045005745713889225,0.14992838973397804,0.005244285294765344,0.09356182386630593,0.09818412832590291,tenure_type,2.767486020635578
own_mortgage,2018,0.1571499346547603,0.028328189751455485,0.041336431721753525,0.0009563798021203806,0.1274925174480889,0.07943884680926362,0.02084912943852626,0.14307222938790937,0.05158135519388069,0.15519636663817882,0.0014853733305018677,0.09552566349411183,0.09758758232944847,tenure_type,2.179308014464459
own_mortgage,2019,0.16294861909946495,0.029346119681883363,0.0397339222795839,0.0023568934119119,0.13380046290976175,0.06888708601359751,0.020877546592953218,0.134339111947022,0.053224223848315905,0.1532576223492052,0.003320229840864958,0.09971399382454127,0.09819416820089363,tenure_type,1.7846585418993657
own_mortgage,2020,0.22023756714891862,0.04326029467326808,0.028187959730805446,0.004298445239588685,0.16360052211552562,0.07597962159928734,0.02124622546417376,0.1192574880784813,0.0668832774869501,0.10812402492638233,0.004326067808457424,0.036866530530907694,0.10773197519725305,tenure_type,0.8594809271320694
own_mortgage,2021,0.18013923642958068,0.033098455026229094,0.03223313628874734,0.003926348129487367,0.15686268070723003,0.0715082749051257,0.02508251211700106,0.1362209391501531,0.05999993828288491,0.12136692207761896,0.0029454847411607096,0.0725160874021035,0.10409998474267723,tenure_type,3.514843777736447
own_mortgage,2022,0.16981765381346434,0.02980216164767863,0.0308442811109396,0.0037394243779782467,0.1772608915524639,0.07124780153756574,0.02049760102484551,0.13593592836706525,0.05444238066793099,0.13228541259576146,0.0017282352724814752,0.08143039654972507,0.09096783148209943,tenure_type,9.030972447593687
own_mortgage,2023,0.17036577491120602,0.02615559249928336,0.02887423371978835,0.005345828799408668,0.17278217549960356,0.07451699649934614,0.019376720943541453,0.13762985743089412,0.05101388827682246,0.13452318060114055,0.0017876497749028013,0.08201352649522257,0.09561457454883955,tenure_type,5.853858476768251
own_outright,2016,0.1377227852043241,0.025851321362592352,0.05489155987855777,0.0,0.09624034772227809,0.07373557583388878,0.01366893754248188,0.1873806144548475,0.04452858132045297,0.14185563628540404,0.007674757444880485,0.11468050639214172,0.10176937655814998,tenure_type,1.0965511344282182
own_outright,2017,0.1385859264194034,0.024472960742277602,0.05374721000917429,0.0,0.09093447016861386,0.07527736399958211,0.012165253318291349,0.18508262403502443,0.044479696122235055,0.1468825160391394,0.008653234106482121,0.11895687891228636,0.10076186612748972,tenure_type,2.8188355535115406
own_outright,2018,0.13902241667110263,0.02513211542974051,0.0501174004189066,0.0,0.09386837149186178,0.07608823988233139,0.011875257273254131,0.18606565251146645,0.05218372159488966,0.14204019318875608,0.006990408002302968,0.11524164930040567,0.1013745742349817,tenure_type,2.2557859535055598
own_outright,2019,0.14177763913530803,0.025663307007436444,0.050203839063008626,0.0,0.09405276635560843,0.075941622648959,0.013344209768186297,0.18426233585622626,0.051035687385588176,0.13389702191897426,0.008440406130463606,0.11956714747416435,0.10181401725607599,tenure_type,1.7730884474859812
own_outright,2020,0.19944388046255693,0.03507524603567146,0.037177604669648874,0.0,0.12481277854856676,0.0833654190414205,0.013389764354904047,0.1663777775609677,0.06412528585995142,0.11106533094024147,0.0098782104824482,0.05030269740235245,0.10498600464126974,tenure_type,0.8093954163209168
own_outright,2021,0.1604751143574673,0.027043154220031052,0.04188737016777672,0.0,0.11971102399396304,0.07726068544576413,0.01607782478029268,0.17765832018618508,0.059839508079729216,0.1213384434617285,0.00795986537496604,0.08798963945617978,0.1027590504759159,tenure_type,3.902323995175848
own_outright,2022,0.1546472824542474,0.023124876667519844,0.03640505876862392,0.0,0.14068288784637936,0.06654048296587983,0.014581729406152325,0.1821283536977397,0.050828353700314376,0.13385875085463397,0.010498575330919004,0.09125348952950355,0.09545015877808649,tenure_type,8.875206269297985
own_outright,2023,0.15559708314326162,0.022092057162398655,0.03391375198329689,0.0,0.13575365845957998,0.06600461254038348,0.011162484659890493,0.18698800660806067,0.05255820685651879,0.13396251366464654,0.005693665297803599,0.09528806602454505,0.10098589359961392,tenure_type,5.524438006631635
private_rent,2016,0.11749858455666147,0.025109701294771018,0.04115133499460612,0.2879541162681544,0.08999788606513956,0.0378139421713246,0.007866928089653811,0.11627070991912677,0.04087612933055514,0.086630355857274,0.009621133261567655,0.08015851194693127,0.05905066624423361,tenure_type,1.17269748712196
private_rent,2017,0.12310737061102613,0.02364849748802981,0.036345524846748876,0.29370564824969214,0.09032523697206518,0.043399182756723734,0.006543578750033482,0.11276148843866698,0.03907869935915255,0.08252983912322723,0.008688376027219634,0.07604438122762487,0.06382217614978909,tenure_type,2.2206127363855988
private_rent,2018,0.12112554609464724,0.02736289451124165,0.03426202927582229,0.29892205365319,0.09343980183740079,0.03841104334311449,0.008229640193192356,0.11491879773820989,0.04484380401087357,0.0746058311620751,0.009792069873527685,0.07448358255582935,0.059602905750874964,tenure_type,1.7215803716315805
private_rent,2019,0.12065582522653222,0.024773644788255653,0.031909540180689096,0.29815859793068894,0.09381844669053976,0.038822142636162814,0.009153231973487365,0.1126458443964118,0.04236241153899414,0.07913194255755451,0.003939151799994559,0.07679542518223419,0.06783379509845446,tenure_type,1.5232435170940206
private_rent,2020,0.1452716419115642,0.026064223356805517,0.025398514987830526,0.35773625292048683,0.10221706550858077,0.04353218170740368,0.008623453455157117,0.08098828315883913,0.04906314487555203,0.06295736930880119,0.008570604573902709,0.030309206211145242,0.05926805802393063,tenure_type,1.0617353804728078
private_rent,2021,0.1237859067472442,0.025880451376384197,0.025018604604292147,0.35578048190546946,0.09560989440443543,0.03903055064676804,0.009951195875820992,0.1009137955926397,0.044645144598718066,0.06510798645361777,0.005652754468824279,0.052758890635025334,0.055864342690759954,tenure_type,2.9518879644079186
private_rent,2022,0.11842817578436693,0.015021807880888532,0.025161580222384662,0.36068541196157794,0.10850765524612789,0.03756289334690469,0.009667088721433587,0.0989555887324318,0.04133421981231064,0.06762302529133057,0.008925610455711542,0.05747201892059921,0.05065492362393171,tenure_type,7.342236495551514
private_rent,2023,0.12157734442421901,0.016986134322205665,0.024348160092095786,0.3516335704352851,0.10591677187108495,0.0350535994026311,0.008402007543619722,0.10833663104255029,0.0407316325060936,0.06522167879758167,0.012033899691504726,0.05316237416344938,0.05659619570767882,tenure_type,6.0055647313292395
social_rent,2016,0.18359241086914696,0.04736019292738744,0.03988372353994193,0.1419331667141589,0.1625304881472102,0.05340455581668199,0.008965069942863271,0.0845719725791001,0.05445738095967919,0.10617248624791555,0.0012323067564918623,0.06071091445792876,0.05518533104149331,tenure_type,0.9061204109108849
social_rent,2017,0.1811147762220225,0.04394126564887642,0.042168461924158,0.15907625719772658,0.14586128644884747,0.05725694026317872,0.005800353459826966,0.0866011019895035,0.054359669751477,0.10166218660143418,0.004806995187553606,0.06491144386667874,0.052439261438715995,tenure_type,2.4988777184024764
social_rent,2018,0.17547093781671022,0.04415028057264453,0.04095722313902507,0.15805755107475764,0.14241222754821095,0.05202223245722063,0.00986712420260386,0.09918700701863933,0.059071009529355255,0.09072497790901102,0.0035905399749800023,0.06582220217088758,0.05866668658595359,tenure_type,1.8870229557481835
