,Social Rent,Private Rent,Own Outright,Own Mortgage
Cluster 0,9.859154929577464,4.3169148735626,37.801955134247166,48.02197506261277
Cluster 1,34.76048647307024,64.20948126085877,0.0,1.0300322660709853
