archetype_value,2015,2016,2017,2018,2019,2020,2021,2022,2023
2.0,0.44462458482174844,0.9964120741900147,2.610517360127763,2.0325532148183276,1.7569784465604552,0.8241864499485378,3.4974152006997303,9.031172868593682,5.887945587097223
3.0,0.48614856853008936,1.0629346205668169,2.6435775387976648,2.121452174887974,1.751736775978972,0.8588745768947179,3.6819683512320998,8.882287337961058,5.690237406564603
4.0,0.5493786111246997,1.1173806498086223,2.666051048978738,2.1808816096175256,1.7403408649676166,0.8724524202556091,3.8548978485740175,8.665310374651101,5.490586914466239
5.0,0.6134715579564168,1.17692203039268,2.6985449034493194,2.2022640765255668,1.730609921881548,0.8435618850302776,3.9536350498791757,8.597381354219944,5.403827735045427
True,0.34059459966076033,0.9452700078113979,2.5769453834151212,1.9907405297322347,1.7458409526456884,0.8384475166601048,3.320523315302158,9.186898976867184,5.878213258803678
