archetype_value,2016,2017,2018,2019,2020,2021,2022,2023,2024
London,0.35608337341613994,5.148511611718221,5.2243460660863725,3.7903888579285576,0.8849193106143403,5.248142963679588,29.31392427666825,16.65217199029835,-0.049365133997629984
Midlands,0.03785181972840293,5.422156475495049,5.638071786479168,3.946277406535045,0.8903422690315772,5.515431420832769,29.45979345007242,16.62160606989186,0.14318825926594603
North,3.0811576139627705e-05,5.4855899909596255,5.571953433725602,3.9058425935831664,0.8950107062712147,5.479672886226892,30.44881184706371,16.68177257855332,0.0005549691972815962
Northern Ireland,0.1827225376551746,5.5996360149400966,5.341116608859361,3.8192226376487053,0.9261744736754811,5.335811901779346,28.923000568677075,16.769140968090902,0.42438223581430734
Scotland,-0.0004222341767095017,5.474386916993195,5.5770485549618956,3.9860546848212297,0.878745550190038,5.534430119616407,30.32556831337987,17.011833405758654,-0.8998033793626389
South (excluding London),0.18685493221433414,5.471482947961913,5.5162980312857215,3.8723033040417483,0.9505000644185595,5.455640148327619,29.851529398229687,16.241299742304328,-0.027605810396104657
Wales,-0.15585343798755485,5.580984176206835,5.639221990358975,3.9607791876230056,0.7977153278245873,5.325151110863318,31.531859019377563,16.342869675059614,-0.4161757117116045
