archetype_value,2016,2017,2018,2019,2020,2021,2022,2023,2024
30_to_49,0.3935380258031207,5.386910500589084,5.2390833317108285,3.748796727611297,1.0584827443581786,5.381319244054357,27.253876585472554,15.851853995752737,0.8072583655934846
50_to_64,0.14386683210671009,5.572203489660956,5.692359697467053,3.928676807148727,0.9601288477032806,5.668432108547943,29.541660976216775,16.286840242798316,-0.06148359664180025
65_to_74,-0.22424727743176773,5.551958470982053,5.83593211324747,4.027485236312023,0.8225994416117233,5.427898187759564,31.83309299287486,17.354896105397323,-0.7094562555674746
75_plus,-0.7851829595849403,5.415778155535002,5.918404026612476,4.130560946435111,0.40543276875619483,5.178059782261634,37.0164605509878,18.73468099620909,-3.038964975603625
under_30,0.6930606083242308,5.0471102894701545,4.916524228809116,3.7580811896847557,1.0883812740955436,5.423946559471784,27.59687211924997,15.320627374324593,2.1158789000284446
